temperature_K,MagpieData mean MeltingT,MagpieData mean NUnfilled,MagpieData avg_dev CovalentRadius,MagpieData mean GSvolume_pa,MagpieData mean Number,dopant_concentration,MagpieData mean NpUnfilled,MagpieData mean MendeleevNumber,dopant_host_radius_mismatch,dopant_host_charge_mismatch,target_value
723.0,776.8142484472049,2.017391304347826,11.114386019057903,24.94372670807453,42.10434782608695,0.045,1.768944099378882,81.98012422360249,0.43,1.0,7.199999999999999
773.0,722.6077437325905,2.0445682451253484,21.786112770695446,35.084280408534816,48.20612813370474,0.04,2.0445682451253484,75.56267409470752,0.0,0.0,0.3441999999999999
585.0,886.1866666666666,1.653333333333333,3.1829333333333345,28.587288888866663,50.10666666666666,0.04,1.3333333333333333,81.72,0.02,1.0,17.3
300.0,881.9335,2.0,3.2750000000000004,28.908671874985,49.150000000000006,0.1,1.75,82.425,0.2299999999999997,0.0,11.000000000000002
425.0,899.412425,1.985,2.5262499999999957,29.200491666649995,50.335,0.03,1.7275,82.3425,0.03,1.0,14.75
723.0,776.8142484472049,2.017391304347826,11.114386019057903,24.94372670807453,42.10434782608695,0.045,1.768944099378882,81.98012422360249,0.43,1.0,7.31
300.0,893.0172499999999,2.0075000000000003,2.5,29.36710416665,50.4925,0.03,1.7575,82.4625,0.07,1.0,7.0
300.0,886.1122500000001,2.0,2.9312499999999946,29.02087760415125,49.6,0.1,1.75,82.44999999999999,0.2299999999999997,0.0,13.000000000000002
323.0,908.97275,2.0625,2.8621874999999948,29.16829166665,50.1375,0.05,1.7125,81.975,0.155,1.0,10.0
575.0,893.286172839506,2.0740740740740744,2.299039780521265,29.536842628051847,50.2962962962963,0.05,1.7901234567901236,82.67901234567901,0.0699999999999999,1.0,9.0
500.0,884.9060880195599,2.0440097799511,2.303274131551111,29.808329258336673,50.62102689486553,0.91,1.821515892420538,83.10513447432763,0.0,0.0,16.0
523.0,908.97275,2.0625,2.8621874999999948,29.16829166665,50.1375,0.05,1.7125,81.975,0.155,1.0,11.999999999999998
300.0,777.8878749999999,2.0125,11.0875,24.889375,41.8875,0.05,1.7625,81.95,0.43,1.0,3.5
300.0,893.1492499999999,2.0,2.6124999999999887,29.24362499998375,50.27499999999999,0.05,1.75,82.4875,0.2299999999999997,0.0,9.0
625.0,887.9659999999999,1.995,2.5350000000000033,29.414429166650496,50.415,0.02,1.745,82.535,0.14,0.0,17.9
543.0,891.3641000000001,1.955,2.5802499999999946,29.17319166665,50.455,0.06,1.705,82.27499999999999,0.19,1.0,18.3
300.0,885.9656,1.955,2.552499999999991,29.2593304597535,50.935,0.06,1.705,82.28999999999999,0.2599999999999999,1.0,11.0
470.0,893.1492499999999,2.0,2.6124999999999887,29.24362499998375,50.27499999999999,0.05,1.75,82.4875,0.2299999999999997,0.0,15.6
300.0,891.3641,1.955,2.580249999999995,29.17319166665,50.455,0.06,1.705,82.27499999999999,0.19,1.0,14.0
300.0,902.1599,2.02,2.690000000000002,29.18306666665,50.120000000000005,0.08,1.77,82.38,0.03,1.0,8.5
585.0,893.8964999999998,1.97,2.584999999999992,29.17816666665,50.290000000000006,0.04,1.72,82.34,0.02,1.0,17.3
750.0,866.641780104712,2.1099476439790577,2.074230421315197,30.330549738202883,50.554973821989535,0.7,1.9267015706806283,83.93979057591623,0.0,0.0,8.000000000000002
573.0,897.8897,1.97,3.190400000000009,29.37976666665,50.69,0.04,1.72,82.03999999999999,0.1079999999999999,0.0,18.93
325.0,900.8814814814816,2.0987654320987654,2.299039780521265,29.27668937134691,49.97530864197531,0.1,1.7530864197530864,82.2716049382716,0.0699999999999999,1.0,11.5
300.0,894.4596999999999,1.985,2.5272500000000027,29.293841666649996,50.485,0.02,1.735,82.42500000000001,0.19,1.0,12.0
300.0,890.291,2.0,2.725000000000006,29.133083333317497,50.05,0.1,1.75,82.475,0.2299999999999997,0.0,9.499999999999998
625.0,879.6084999999998,1.995,2.947500000000009,29.190017708318,49.515,0.02,1.745,82.485,0.14,0.0,17.9
600.0,887.7941499999998,1.9775,2.932149999999999,29.0647302083175,49.3075,0.03,1.7275,82.3225,0.04,1.0,17.21
