MagpieData avg_dev NUnfilled,temperature_K,dopant_host_radius_mismatch,MagpieData avg_dev CovalentRadius,MagpieData mean NsValence,MagpieData mean NUnfilled,dopant_concentration,MagpieData avg_dev Number,frac s valence electrons,frac_Ag,dopant_host_charge_mismatch,target_value
0.5228807556080283,100.0,0.0,2.0408972845336346,1.8103896103896104,2.101298701298701,0.73,1.4262641254849031,0.1226464895301777,0.1896103896103896,0.0,0.54
0.5228807556080283,300.0,0.0,2.0408972845336346,1.8103896103896104,2.101298701298701,0.73,1.4262641254849031,0.1226464895301777,0.1896103896103896,0.0,0.45
0.5123500000000001,573.0,0.04,2.5048999999999957,1.75,1.985,0.02,2.0355500000000037,0.1212331139591271,0.25,1.0,0.69
0.5,300.0,0.2299999999999997,2.6124999999999887,1.75,2.0,0.05,2.044375000000004,0.1206896551724138,0.25,0.0,0.5
0.4974999999999999,300.0,0.21,2.502500000000002,1.75,1.995,0.02,1.7525000000000022,0.1206480523957256,0.25,1.0,2.62
0.5350999999999999,300.0,0.04,2.6502000000000043,1.75,2.01,0.02,2.2432000000000016,0.1216968011126564,0.25,1.0,0.58
0.5440630177462694,300.0,0.03,2.0917020049757147,1.8151226671169003,2.1237320934581865,0.013,1.7878290640811494,0.1229174637098015,0.1848773328830993,1.0,0.8200000000000001
0.52735,300.0,0.14,2.947500000000009,1.75,1.995,0.02,3.1184,0.122763942476324,0.25,0.0,0.31
0.5219155176667306,773.0,0.0,2.074230421315197,1.8167539267015709,2.1099476439790577,0.7,1.7362462651791308,0.1228318584070796,0.1832460732984293,0.0,0.65
0.515,300.0,0.43,2.777499999999998,1.76,1.99,0.04,3.0981249999999996,0.1221374045801526,0.24,1.0,0.45
0.5,300.0,0.2299999999999997,2.725000000000006,1.75,2.0,0.1,2.327499999999998,0.1206896551724138,0.25,0.0,0.44
0.5,300.0,0.2299999999999997,2.949999999999997,1.75,2.0,0.2,2.8599999999999968,0.1206896551724138,0.25,0.0,0.27
0.4974999999999999,300.0,0.21,2.502500000000002,1.75,1.995,0.02,1.7525000000000022,0.1206480523957256,0.25,1.0,3.25
0.5112500000000002,300.0,0.07,2.5,1.75,2.0075000000000003,0.03,1.7536375000000002,0.1207521131619803,0.25,1.0,0.68
0.5,424.0,0.2299999999999997,2.544999999999998,1.75,2.0,0.02,1.8691000000000015,0.1206896551724138,0.25,0.0,0.55
0.5156254955980283,300.0,0.0,2.367854678357979,1.7683658170914545,2.035732133933034,0.927,1.655935525490626,0.12133317331596,0.2316341829085457,0.0,0.2
0.5185185185185186,498.0,0.155,2.631903673220548,1.740740740740741,2.0,0.01,1.895454961133973,0.1206365503080082,0.2592592592592593,1.0,0.48
0.59375,300.0,0.155,2.8621874999999948,1.75,2.0625,0.05,2.272187500000002,0.1218450826805918,0.25,1.0,0.52
0.52625,300.0,0.07,2.5,1.75,2.0175,0.07,1.7581374999999992,0.1208354911099602,0.25,1.0,0.7
