dopant_host_charge_mismatch,dopant_concentration,temperature_K,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData maximum MendeleevNumber,MagpieData maximum Electronegativity,MagpieData mean SpaceGroupNumber,frac_Sb,frac s valence electrons,dopant_host_radius_mismatch,target_value
1.0,0.03,300.0,0.5184124999999999,29.289141666649996,90.0,2.1,173.95999999999998,0.2425,0.1215066828675577,0.04,330.0
1.0,0.04,323.0,0.4444444444444444,28.54875555553333,90.0,2.1,176.33333333333334,0.0,0.1162790697674418,0.42,160.0
1.0,0.04,423.0,0.4444444444444444,28.54875555553333,90.0,2.1,176.33333333333334,0.0,0.1162790697674418,0.42,270.0
1.0,0.04,573.0,0.4444444444444444,28.54875555553333,90.0,2.1,176.33333333333334,0.0,0.1162790697674418,0.42,260.0
1.0,0.15,750.0,0.6387499999999999,29.669166666649996,90.0,2.1,172.8125,0.2125,0.1226415094339622,0.4600000000000001,450.0
2.0,0.4,300.0,0.5206611570247931,31.230454545436363,90.0,2.1,166.4090909090909,0.3181818181818181,0.1242424242424242,0.39,1400.0
2.0,0.1,300.0,0.5104104699583581,29.857560975592683,90.0,2.1,171.78048780487805,0.2682926829268293,0.1216666666666666,0.39,100.0
0.0,0.02,300.0,0.5,29.3099499999835,90.0,2.55,173.06,0.25,0.1206896551724138,0.2299999999999997,160.0
0.0,0.02,550.0,0.5,29.3099499999835,90.0,2.55,173.06,0.25,0.1206896551724138,0.2299999999999997,240.0
0.0,0.02,700.0,0.5,29.3099499999835,90.0,2.55,173.06,0.25,0.1206896551724138,0.2299999999999997,210.0
0.0,0.927,0.0,0.5156254955980283,29.637079793419915,90.0,2.1,172.65242378810598,0.2673663168415792,0.12133317331596,0.0,0.0417
0.0,0.927,300.0,0.5156254955980283,29.637079793419915,90.0,2.1,172.65242378810598,0.2673663168415792,0.12133317331596,0.0,0.0405
0.0,0.02,300.0,0.6761275905680435,34.098950789225626,90.0,2.55,109.96378830083566,0.2284122562674094,0.1392552366175329,0.0,0.0249376558603491
0.0,0.02,773.0,0.6761275905680435,34.098950789225626,90.0,2.55,109.96378830083566,0.2284122562674094,0.1392552366175329,0.0,0.4
1.0,0.08,300.0,0.7955555555555556,26.3751,89.0,2.55,96.45333333333332,0.1533333333333333,0.1251137397634212,0.03,361.0
1.0,0.0,300.0,0.7777777777777778,29.436944444433333,90.0,2.55,141.66666666666666,0.1666666666666666,0.125,0.03,66.0
1.0,0.08,300.0,0.7955555555555556,29.322877777766667,90.0,2.55,142.45333333333335,0.1533333333333333,0.1251137397634213,0.03,361.0
1.0,0.04,297.0,0.5244000000000001,29.290942528719,90.0,2.1,173.75,0.24,0.1197809719370294,0.2599999999999999,212.0
1.0,0.04,300.0,0.5244000000000001,29.290942528719,90.0,2.1,173.75,0.24,0.1197809719370294,0.2599999999999999,212.0
1.0,0.02,300.0,0.5123500000000001,29.322554597684498,90.0,2.1,173.75,0.245,0.1202335967021642,0.2599999999999999,160.0
1.0,0.06,300.0,0.53615,29.2593304597535,90.0,2.1,173.75,0.235,0.1193317422434367,0.2599999999999999,180.0
0.0,0.06,300.0,0.5,29.219519791650495,90.0,2.58,172.52,0.25,0.1219512195121951,0.3699999999999999,192.0
1.0,0.06,300.0,0.53615,29.17319166665,90.0,2.1,174.17,0.235,0.1210653753026634,0.19,222.0
