temperature_K,MagpieData minimum NUnfilled,MagpieData avg_dev GSvolume_pa,frac d valence electrons,MagpieData mean SpaceGroupNumber,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,frac p valence electrons,MagpieData avg_dev Electronegativity,MagpieData range CovalentRadius,dopant_host_charge_mismatch,dopant_host_radius_mismatch,target_value
673.0,1.0,6.594859374991,0.6842105263157895,168.25,82.425,881.9335,0.1929824561403508,0.0782500000000001,40.0,0.0,0.2299999999999997,2.1
573.0,0.0,6.524883333324999,0.6822880771881461,174.34,82.03999999999999,897.8897,0.1874569262577532,0.0690920000000001,49.0,0.0,0.1079999999999999,2.4
300.0,0.0,6.518483333324999,0.6859703550499827,174.04500000000002,82.27000000000001,896.9485999999999,0.1885556704584626,0.0633354999999998,49.0,0.0,0.1079999999999999,0.7
500.0,0.0,6.518483333324999,0.6859703550499827,174.04500000000002,82.27000000000001,896.9485999999999,0.1885556704584626,0.0633354999999998,49.0,0.0,0.1079999999999999,1.8
300.0,0.0,6.524883333324999,0.6822880771881461,174.34,82.03999999999999,897.8897,0.1874569262577532,0.0690920000000001,49.0,0.0,0.1079999999999999,0.8
573.0,0.0,6.711941583324499,0.6918021445866482,174.17,82.27499999999999,891.3641,0.1871324801106883,0.0652879999999999,7.0,1.0,0.19,2.6
570.0,0.0,6.561538390795878,0.6844626967830254,173.75,82.36,889.3128999999999,0.1861738535249829,0.0581399999999999,13.0,1.0,0.2599999999999999,2.4
673.0,1.0,6.581332747386969,0.6869565217391305,169.275,82.44999999999999,886.1122500000001,0.1913043478260869,0.0722500000000001,40.0,0.0,0.2299999999999997,2.3
523.0,0.0,6.537126982750094,0.687049124012367,173.75,82.43,892.6602,0.1879079354173823,0.0578224999999999,13.0,1.0,0.2599999999999999,1.8
523.0,0.0,6.561538390795878,0.6844626967830254,173.75,82.36,889.3128999999999,0.1861738535249829,0.0581399999999999,13.0,1.0,0.2599999999999999,2.4
573.0,0.0,6.711941583324499,0.6918021445866482,174.17,82.27499999999999,891.3641,0.1871324801106883,0.0652879999999999,7.0,1.0,0.19,2.6
584.0,0.0,6.728446666657998,0.6910850034554251,174.03,82.34,893.8964999999998,0.1879751209398756,0.06332,23.0,1.0,0.02,1.9
573.0,0.0,6.684811102026679,0.6916724019270476,174.12935323383087,82.28855721393035,891.4258706467663,0.1871988988300068,0.0649904705329073,7.0,1.0,0.19,2.6
850.0,1.0,10.94398801502618,0.7443257676902537,187.1569506726457,76.77578475336321,1010.2564125560536,0.1431909212283044,0.1016871443222265,13.0,1.0,0.42,1.6
623.0,1.0,6.519026666657998,0.6835269993164731,174.34,82.46000000000001,892.9757999999999,0.1872863978127136,0.0588999999999999,8.0,1.0,0.43,2.0
300.0,1.0,6.519026666657998,0.6835269993164731,174.34,82.46000000000001,892.9757999999999,0.1872863978127136,0.0588999999999999,8.0,1.0,0.43,0.7
300.0,1.0,6.515727499991499,0.6865774116031583,174.04500000000002,82.48,894.4916499999999,0.1884654994850669,0.0581999999999999,8.0,1.0,0.43,0.3
623.0,1.0,6.515727499991499,0.6865774116031583,174.04500000000002,82.48,894.4916499999999,0.1884654994850669,0.0581999999999999,8.0,1.0,0.43,1.4
300.0,1.0,6.5219808333245,0.6805035726437564,174.635,82.44,891.4599499999999,0.1861177271180673,0.0596,8.0,1.0,0.43,0.5
623.0,1.0,6.5219808333245,0.6805035726437564,174.635,82.44,891.4599499999999,0.1861177271180673,0.0596,8.0,1.0,0.43,1.7
300.0,1.0,5.325547758690854,0.6775602197492605,169.94698544698545,83.79417879417879,872.6370166320166,0.199816875616284,0.0486901422452359,7.0,1.0,0.07,0.4
700.0,1.0,5.325547758690854,0.6775602197492605,169.94698544698545,83.79417879417879,872.6370166320166,0.199816875616284,0.0486901422452359,7.0,1.0,0.07,0.45
300.0,1.0,5.342678129086037,0.6787606479694686,169.29443866943865,83.66366943866946,862.2302006237006,0.1983991973408387,0.0511321052381344,7.0,1.0,0.07,0.25
650.0,1.0,5.342678129086037,0.6787606479694686,169.29443866943865,83.66366943866946,862.2302006237006,0.1983991973408387,0.0511321052381344,7.0,1.0,0.07,1.25
523.0,1.0,6.712423675244137,0.6916495550992471,174.45185185185184,82.18024691358026,902.7527654320988,0.1877138945927446,0.0607211095869531,22.0,1.0,0.155,1.28
523.0,1.0,6.712423675244137,0.6916495550992471,174.45185185185184,82.18024691358026,902.7527654320988,0.1877138945927446,0.0607211095869531,22.0,1.0,0.155,0.97
600.0,0.0,6.623878817699386,0.6836248012718602,171.91,82.3225,887.7941499999998,0.1927221338986045,0.0725500000000001,40.0,1.0,0.04,1.96
300.0,0.0,6.602523531241224,0.6863946769392402,172.935,82.3475,891.9729,0.1910348450358956,0.0687567500000001,40.0,1.0,0.04,0.8
600.0,0.0,6.602523531241224,0.6863946769392402,172.935,82.3475,891.9729,0.1910348450358956,0.0687567500000001,40.0,1.0,0.04,1.8
570.0,1.0,6.564608723949624,0.6869565217391306,171.00000000000003,82.4625,888.9705000000001,0.1913043478260869,0.0666250000000001,40.0,0.0,0.2299999999999997,1.5
570.0,1.0,6.581332747386969,0.6869565217391305,169.275,82.44999999999999,886.1122500000001,0.1913043478260869,0.0722500000000001,40.0,0.0,0.2299999999999997,1.8
570.0,1.0,6.594859374991,0.6842105263157895,168.25,82.425,881.9335,0.1929824561403508,0.0782500000000001,40.0,0.0,0.2299999999999997,2.0
550.0,1.0,6.97512317527835,0.6902855153203342,174.6425,81.9225,906.77385,0.1878481894150417,0.07014375,7.0,1.0,0.0699999999999999,0.62
550.0,1.0,6.953179633611813,0.6881533101045295,174.28750000000002,81.925,907.248625,0.1890243902439024,0.0736000000000001,7.0,1.0,0.32,0.74
550.0,1.0,6.57981231320996,0.6897444751381215,173.8775,82.4175,897.54555,0.1893991712707182,0.0593437500000001,7.0,1.0,0.0699999999999999,0.55
550.0,1.0,6.845460129301531,0.6901041666666666,174.3875,82.0875,903.6977499999998,0.1883680555555555,0.06659375,7.0,1.0,0.0699999999999999,0.65
550.0,1.0,6.97512317527835,0.6902855153203344,174.64249999999998,81.9225,906.77385,0.1878481894150417,0.07014375,7.0,1.0,0.0699999999999999,0.68
550.0,1.0,6.621628591945624,0.6877162629757786,173.65,82.3375,899.5583750000001,0.1903114186851211,0.064625,7.0,1.0,0.32,0.58
550.0,1.0,6.953179633611813,0.6881533101045296,174.2875,81.925,907.248625,0.1890243902439024,0.0736000000000001,7.0,1.0,0.32,0.74
623.0,1.0,6.707203208324751,0.6910850034554251,174.1925,82.3425,899.412425,0.1884934346924671,0.059095625,13.0,1.0,0.03,1.67
615.0,1.0,6.143446263699321,0.6855930456294667,172.5889417062797,82.78834125594196,889.2134100575431,0.1927570093457943,0.0565945099304838,66.0,0.0,0.2499999999999999,1.2
300.0,1.0,6.506103817753994,0.689355477153429,173.73067331670822,82.43142144638404,895.7837157107232,0.1897427071680578,0.0591508448330547,66.0,0.0,0.2499999999999999,0.45
500.0,1.0,6.506103817753994,0.689355477153429,173.73067331670822,82.43142144638404,895.7837157107232,0.1897427071680578,0.0591508448330547,66.0,0.0,0.2499999999999999,1.05
